RK,FIRST,LAST,WAR,RA,RAR,WAA,WAAWP,ORPG,BIP,PPF
1,Zack,Greinke,9.3,43,78.2,7.5,0.7,2.3,0.1,95
2,Jake,Arrieta,8.6,52,73.1,6.7,0.7,2.6,0.1,99
3,Clayton,Kershaw,7.5,62,65,5.6,0.7,2.8,0.1,95
4,Dallas,Keuchel,7.2,68,67.5,5.1,0.7,3,0.2,100
5,Max,Scherzer,7,74,61,5.1,0.7,2.9,0.1,102
6,David,Price,6,70,57.2,3.9,1.3,6.4,0.1,196
7,Sonny,Gray,5.8,71,55.2,3.8,0.6,3.2,0.1,100
8,John,Lackey,5.6,71,49.9,3.8,0.6,3.2,0.2,100
9,Madison,Bumgarner,4.9,73,44,3.1,0.6,3.4,0.1,96
10,Jacob,deGrom,4.7,59,42.5,3.2,0.6,3.3,0.1,94
11,Gerrit,Cole,4.5,71,41.1,2.9,0.6,3.5,0.1,98
12,Cole,Hamels,4.4,88,42,2.6,1.2,7.1,0.1,206
 ,Felix,Hernandez,4.4,80,43.8,2.6,0.6,3.6,0.1,94
14,Matt,Harvey,4.3,62,38.9,2.8,0.6,3.4,0.1,94
 ,Chris,Archer,4.3,85,43.1,2.3,0.6,3.7,0.1,98
16,Corey,Kluber,4.2,92,43.1,2.2,0.6,3.7,0.1,106
17,Yovani,Gallardo,4.1,76,41,2.4,0.6,3.7,0.1,105
18,Jose,Quintana,4,81,40.4,2.1,0.6,3.7,0.1,97
19,Johnny,Cueto,3.9,87,36.2,2.1,1.1,7.7,0.1,204
 ,Jaime,Garcia,3.9,37,34,2.8,0.6,3,0.1,100
 ,Carlos,Martinez,3.9,65,35.1,2.4,0.6,3.5,0.1,100
22,Wei-Yin,Chen,3.8,78,38.8,2.1,0.6,3.7,0.1,103
 ,Carlos,Carrasco,3.8,75,38.2,2.1,0.6,3.7,0.1,106
 ,Dellin,Betances,3.8,17,30.3,2.3,0.5,4,0,99
25,Shelby,Miller,3.6,82,33.7,2,0.6,3.7,0.1,96
 ,Marco,Estrada,3.6,67,36.5,1.9,0.6,3.8,0.1,98
27,Jake,Odorizzi,3.5,65,35.5,2,0.6,3.7,0.1,98
28,Wade,Davis,3.4,8,27.7,2.3,0.5,4,0,103
 ,Lance,Lynn,3.4,66,31.3,2,0.6,3.7,0.1,100
 ,Jordan,Zimmermann,3.4,89,31.3,1.7,0.6,3.8,0.1,102
