Date,ARI,ATL,BAL,BOS,CHI,CIN,CLE,COL,CWS,DET,HOU,KC,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SD,SEA,SF,STL,TB,TEX,TOR,WAS
4/6/15,SF,,,,STL,PIT,,,,MIN,CLE,CWS,,SD,ATL,COL,,,TOR,TEX,BOS,,,LAA,,,BAL,,,NYM
4/7/15,SF,,,,,,,,,,,,,SD,ATL,COL,,,,TEX,,,,LAA,,,BAL,,,
4/8/15,SF,,,,STL,PIT,,,,MIN,CLE,CWS,,SD,ATL,COL,,,TOR,TEX,BOS,,,LAA,,,BAL,,,NYM
4/9/15,,,,,STL,PIT,,,,MIN,CLE,CWS,,,,,,,TOR,TEX,BOS,,SF,,,,,,,NYM
4/10/15,LAD,NYM,TOR,,,STL,DET,CHI,MIN,,,,KC,,TB,PIT,,,BOS,SEA,WAS,,SF,,,,,HOU,,
4/11/15,LAD,NYM,TOR,,,STL,DET,CHI,MIN,,,,KC,,TB,PIT,,,BOS,SEA,WAS,,SF,,,,,HOU,,
4/12/15,LAD,NYM,TOR,,,STL,DET,CHI,MIN,,,,KC,,TB,PIT,,,BOS,SEA,WAS,,SF,,,,,HOU,,
4/13/15,,MIA,NYY,WAS,CIN,,,,,,OAK,,,SEA,,,KC,PHI,,,,DET,ARI,,COL,MIL,,LAA,TB,
4/14/15,,MIA,NYY,WAS,CIN,,CWS,,,,OAK,,,SEA,,,,PHI,,,,DET,ARI,,COL,,,LAA,TB,
4/15/15,,MIA,NYY,WAS,CIN,,CWS,,,,OAK,,,SEA,,,KC,PHI,,,,DET,ARI,,COL,MIL,,LAA,TB,
4/16/15,,,,,,,,,,,,,,,,,KC,MIA,,,,,,,ARI,MIL,,,TB,PHI
4/17/15,,,,BAL,SD,,,,,CWS,LAA,OAK,,COL,,,CLE,MIA,,,,MIL,,TEX,ARI,CIN,NYY,,ATL,PHI
4/18/15,,,,BAL,SD,,,,,CWS,LAA,OAK,,COL,,,CLE,MIA,,,,MIL,,TEX,ARI,CIN,NYY,,ATL,PHI
4/19/15,,,,BAL,SD,,,,,CWS,LAA,OAK,,COL,,,CLE,MIA,,,,MIL,,TEX,ARI,CIN,NYY,,ATL,PHI
4/20/15,,,,BAL,,,,SD,CLE,NYY,,MIN,OAK,,,CIN,,,,,,CHI,,HOU,,,,,,
4/21/15,TEX,,,,,,,SD,CLE,NYY,,MIN,OAK,,,CIN,,ATL,,,MIA,CHI,,HOU,LAD,,BOS,,BAL,STL
4/22/15,TEX,,,,,,,SD,CLE,NYY,,MIN,OAK,,,CIN,,ATL,,,MIA,CHI,,HOU,LAD,,BOS,,BAL,STL
4/23/15,,,,,,,,SD,KC,NYY,,,OAK,,,CIN,,ATL,,,MIA,CHI,,,LAD,,BOS,,BAL,STL
4/24/15,PIT,,BOS,,,CHI,,SF,KC,CLE,,,TEX,,WAS,STL,,,NYM,HOU,ATL,,LAD,MIN,,,TOR,,,
4/25/15,PIT,,BOS,,,CHI,,SF,KC,CLE,,,TEX,,WAS,STL,,,NYM,HOU,ATL,,LAD,MIN,,,TOR,,,
4/26/15,PIT,,BOS,,,CHI,,SF,KC,CLE,,,TEX,,WAS,STL,,,NYM,HOU,ATL,,LAD,MIN,,,TOR,,,
4/27/15,COL,WAS,CWS,TOR,PIT,MIL,KC,,,,,,,SF,NYM,,DET,,TB,,,,HOU,,,PHI,,SEA,,
4/28/15,COL,WAS,CWS,TOR,PIT,MIL,KC,,,,,,,SF,NYM,,DET,,TB,LAA,,,HOU,,,PHI,,SEA,,
4/29/15,COL,WAS,CWS,TOR,PIT,MIL,KC,,,,,,,SF,NYM,,DET,,TB,LAA,,,HOU,,,PHI,,SEA,,
4/30/15,,CIN,,,,,TOR,,,,SEA,DET,,,,,CWS,WAS,,LAA,,,,,,PHI,,,,
5/1/15,,CIN,TB,NYY,MIL,,TOR,,,,SEA,DET,,ARI,PHI,,CWS,WAS,,,,,COL,,LAA,PIT,,OAK,,
5/2/15,,CIN,TB,NYY,MIL,,TOR,,,,SEA,DET,,ARI,PHI,,CWS,WAS,,,,,COL,,LAA,PIT,,OAK,,
5/3/15,,CIN,TB,NYY,MIL,,TOR,,,,SEA,DET,,ARI,PHI,,CWS,WAS,,,,,COL,,LAA,PIT,,OAK,,
5/4/15,,PHI,,TB,,,,ARI,,,TEX,,SEA,,,LAD,OAK,,,,,,,,SD,CHI,,,NYY,MIA
5/5/15,,PHI,,TB,,,,ARI,DET,,TEX,CLE,SEA,,,LAD,OAK,BAL,,,,CIN,,,SD,CHI,,,NYY,MIA
5/6/15,,PHI,,TB,,,,ARI,DET,,TEX,CLE,SEA,,,LAD,OAK,BAL,,,,CIN,,,SD,CHI,,,NYY,MIA
5/7/15,SD,,,,,,,,DET,,,CLE,HOU,,,LAD,OAK,,BAL,,,CIN,,,MIA,CHI,TEX,,,
5/8/15,SD,,,,,,MIN,LAD,CIN,KC,,,HOU,,,CHI,,,BAL,,NYM,STL,,OAK,MIA,,TEX,,BOS,ATL
5/9/15,SD,,,,,,MIN,LAD,CIN,KC,,,HOU,,,CHI,,,BAL,,NYM,STL,,OAK,MIA,,TEX,,BOS,ATL
