WAS,Scherzer,Max,Strasburg,Stephen,Zimmermann,Jordan,Fister,Doug,Gonzalez,Gio
SEA,Hernandez,Felix,Iwakuma,Hisashi,Happ,J.A.,Paxton,James,Walker,Taijuan
STL,Wainwright,Adam,Lynn,Lance,Lackey,John,Wacha,Michael,Martinez,Carlos
LAD,Kershaw,Clayton,Greinke,Zack,Bolsinger,Michael,McCarthy,Brandon,Anderson,Brett
SD,Shields,James,Cashner,Andrew,Ross,Tyson,Kennedy,Ian,Morrow,Brandon
CWS,Samardzija,Jeff,Sale,Chris,Quintana,Jose,Danks,John,Noesi,Hector
ATL,Teheran,Julio,Wood,Alex,Miller,Shelby,Perez,Williams,Wisler,Matt
PIT,Liriano,Francisco,Cole,Gerrit,Morton,Charlie,Burnett,A.J.,Locke,Jeff
BAL,Tillman,Chris,Chen,Wei-Yin,Norris,Bud,Gonzalez,Miguel,Gausman,Kevin
NYM,Colon,Bartolo,deGrom,Jacob,Harvey,Matt,Niese,Jon,Gee,Dillon
DET,Price,David,Verlander,Justin,Sanchez,Anibal,Simon,Alfredo,Greene,Shane
TB,Archer,Chris,Karns,Nate,Odorizzi,Jake,Ramirez,Erasmo,Smyly,Drew
CLE,Kluber,Corey,Carrasco,Carlos,Bauer,Trevor,House,T.J.,McAllister,Zach
MIA,Alvarez,Henderson,Cosart,Jarred,Latos,Mat,Haren,Dan,Koehler,Tom
KC,Ventura,Yordano,Duffy,Danny,Volquez,Edinson,Vargas,Jason,Guthrie,Jeremy
CHI,Lester,Jon,Arrieta,Jake,Hammel,Jason,Hendricks,Kyle,Wood,Travis
CIN,Cueto,Johnny,Leake,Mike,DeSclafani,Anthony,Marquis,Jason,Iglesias,Raisel
OAK,Gray,Sonny,Hahn,Jesse,Kazmir,Scott,Graveman,Kendall,Pomeranz,Drew
LAA,Weaver,Jered,Richards,Garrett,Wilson,C.J.,Shoemaker,Matt,Santiago,Hector
SF,Bumgarner,Madison,Vogelsong,Ryan,Heston,Chris,Hudson,Tim,Lincecum,Tim
BOS,Buchholz,Clay,Porcello,Rick,Kelly,Joe,Miley,Wade,Masterson,Justin
MIL,Lohse,Kyle,Garza,Matt,Peralta,Wily,Fiers,Mike,Nelson,Jimmy
NYY,Tanaka,Masahiro,Sabathia,CC,Pineda,Michael,Eovaldi,Nathan,Warren,Adam
HOU,Keuchel,Dallas,Feldman,Scott,McHugh,Collin,Oberholtzer,Brett,Hernandez,Roberto
PHI,Hamels,Cole,Harang,Aaron,Williams,Jerome,Buchanan,David,O'Sullivan,Sean
TOR,Hutchison,Drew,Dickey,R.A.,Sanchez,Aaron,Buehrle,Mark,Norris,Daniel
TEX,Gallardo,Yovani,Holland,Derek,Lewis,Colby,Detwiler,Ross,Martinez,Nick
MIN,Hughes,Phil,Santana,Ervin,Nolasco,Ricky,Gibson,Kyle,Milone,Tommy
ARI,Collmenter,Josh,Hellickson,Jeremy,De La Rosa,Rubby,Cahill,Trevor,Anderson,Chase
COL,De La Rosa,Jorge,Kendrick,Kyle,Lyles,Jordan,Matzek,Tyler,Butler,Eddie
